,Rank,Player 1,Player 2,Stage,Winner
1633,platinum-diamond,Jigglypuff,Fox,Final Destination,Player 1
1634,diamond-diamond,Fox,Falco,Yoshi’s Story,Player 1
1635,diamond-diamond,Falco,Falco,Pokémon Stadium,Player 1
1636,platinum-diamond,Roy,Sheik,Fountain of Dreams,Player 1
1637,master-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 2
1638,master-platinum,Marth,Yoshi,Final Destination,Player 2
1639,diamond-diamond,Marth,Marth,Pokémon Stadium,Player 2
1640,diamond-diamond,Ness,Fox,Dream Land,Player 2
1641,master-diamond,Fox,Falco,Final Destination,Player 2
1642,diamond-diamond,Mr. Game & Watch,Peach,Fountain of Dreams,Player 2
1643,platinum-platinum,Ice Climbers,Jigglypuff,Final Destination,Player 1
1644,master-diamond,Jigglypuff,Jigglypuff,Dream Land,Player 1
1645,master-master,Falco,Marth,Battlefield,Player 1
1646,master-diamond,Jigglypuff,Falco,Yoshi’s Story,Player 1
1647,diamond-diamond,Samus,Mr. Game & Watch,Final Destination,Player 2
1648,platinum-diamond,Marth,Falco,Pokémon Stadium,Player 2
1649,platinum-platinum,Fox,Peach,Fountain of Dreams,Player 2
1650,diamond-diamond,Peach,Falco,Yoshi’s Story,Player 1
1651,platinum-diamond,Captain Falcon,Marth,Final Destination,Player 1
1652,master-diamond,Falco,Mewtwo,Final Destination,Player 2
1653,master-platinum,Falco,Captain Falcon,Final Destination,Player 1
1654,platinum-platinum,Bowser,Sheik,Fountain of Dreams,Player 2
1655,platinum-platinum,Marth,Ness,Pokémon Stadium,Player 2
1656,master-master,Link,Fox,Final Destination,Player 2
1657,platinum-platinum,Fox,Captain Falcon,Pokémon Stadium,Player 1
1658,platinum-platinum,Captain Falcon,Falco,Dream Land,Player 1
1659,platinum-platinum,Falco,Peach,Pokémon Stadium,Player 2
1660,master-platinum,Ganondorf,Captain Falcon,Final Destination,Player 2
1661,platinum-diamond,Sheik,Sheik,Final Destination,Player 2
1662,platinum-platinum,Dr. Mario,Ganondorf,Fountain of Dreams,Player 2
1663,master-diamond,Marth,Sheik,Yoshi’s Story,Player 1
1664,master-platinum,Mario,Pikachu,Final Destination,Player 1
1665,master-diamond,Marth,Falco,Final Destination,Player 1
1666,master-diamond,Sheik,Fox,Final Destination,Player 2
1667,platinum-diamond,Sheik,Sheik,Final Destination,Player 2
1668,diamond-diamond,Sheik,Marth,Pokémon Stadium,Player 1
1669,master-master,Luigi,Falco,Dream Land,Player 2
1670,master-diamond,Fox,Falco,Final Destination,Player 1
1671,diamond-diamond,Dr. Mario,Fox,Final Destination,Player 2
1672,platinum-diamond,Marth,Dr. Mario,Yoshi’s Story,Player 2
1673,platinum-platinum,Peach,Fox,Fountain of Dreams,Player 2
1674,master-master,Fox,Marth,Pokémon Stadium,Player 1
1675,master-master,Falco,Fox,Yoshi’s Story,Player 2
1676,master-master,Captain Falcon,Falco,Final Destination,Player 1
1677,platinum-diamond,Falco,Peach,Yoshi’s Story,Player 2
1678,master-master,Falco,Falco,Final Destination,Player 1
1679,platinum-platinum,Dr. Mario,Fox,Yoshi’s Story,Player 2
1680,diamond-diamond,Mewtwo,Jigglypuff,Fountain of Dreams,Player 2
1681,platinum-platinum,Falco,Sheik,Fountain of Dreams,Player 2
1682,platinum-diamond,Mario,Ice Climbers,Pokémon Stadium,Player 2
1683,platinum-diamond,Fox,Captain Falcon,Final Destination,Player 1
1684,master-platinum,Captain Falcon,Fox,Final Destination,Player 2
1685,platinum-diamond,Captain Falcon,Fox,Yoshi’s Story,Player 2
1686,master-diamond,Sheik,Falco,Fountain of Dreams,Player 2
1687,master-diamond,Falco,Sheik,Final Destination,Player 2
1688,diamond-diamond,Falco,Fox,Pokémon Stadium,Player 1
1689,platinum-diamond,Falco,Pikachu,Final Destination,Player 2
1690,master-master,Samus,Falco,Battlefield,Player 1
1691,diamond-diamond,Fox,Jigglypuff,Yoshi’s Story,Player 1
1692,diamond-diamond,Falco,Samus,Final Destination,Player 2
1693,platinum-platinum,Sheik,Falco,Yoshi’s Story,Player 1
1694,master-diamond,Bowser,Falco,Final Destination,Player 1
1695,master-platinum,Luigi,Falco,Pokémon Stadium,Player 2
1696,platinum-diamond,Marth,Jigglypuff,Final Destination,Player 1
1697,diamond-diamond,Luigi,Fox,Fountain of Dreams,Player 1
1698,master-diamond,Falco,Marth,Fountain of Dreams,Player 2
1699,platinum-diamond,Ice Climbers,Fox,Pokémon Stadium,Player 1
1700,master-master,Jigglypuff,Marth,Pokémon Stadium,Player 1
1701,diamond-diamond,Samus,Falco,Yoshi’s Story,Player 2
1702,master-master,Peach,Falco,Final Destination,Player 1
1703,platinum-platinum,Fox,Captain Falcon,Final Destination,Player 1
1704,master-master,Fox,Captain Falcon,Battlefield,Player 2
1705,platinum-platinum,Marth,Fox,Yoshi’s Story,Player 1
1706,diamond-diamond,Falco,Marth,Pokémon Stadium,Player 1
1707,platinum-platinum,Fox,Falco,Final Destination,Player 2
1708,diamond-diamond,Jigglypuff,Mewtwo,Pokémon Stadium,Player 1
1709,master-diamond,Captain Falcon,Falco,Final Destination,Player 1
1710,diamond-diamond,Falco,Luigi,Yoshi’s Story,Player 1
1711,master-diamond,Marth,Ganondorf,Yoshi’s Story,Player 2
1712,platinum-platinum,Fox,Peach,Fountain of Dreams,Player 2
1713,master-diamond,Sheik,Captain Falcon,Final Destination,Player 2
1714,diamond-diamond,Falco,Falco,Yoshi’s Story,Player 1
1715,master-platinum,Falco,Fox,Pokémon Stadium,Player 2
1716,master-master,Falco,Sheik,Dream Land,Player 1
1717,platinum-platinum,Fox,Falco,Final Destination,Player 2
1718,master-platinum,Fox,Sheik,Final Destination,Player 2
1719,master-master,Falco,Ice Climbers,Yoshi’s Story,Player 2
1720,master-platinum,Sheik,Samus,Fountain of Dreams,Player 1
1721,platinum-diamond,Sheik,Marth,Yoshi’s Story,Player 2
1722,diamond-diamond,Fox,Falco,Battlefield,Player 1
1723,diamond-diamond,Fox,Fox,Final Destination,Player 1
1724,master-diamond,Captain Falcon,Captain Falcon,Pokémon Stadium,Player 1
1725,master-master,Sheik,Falco,Yoshi’s Story,Player 2
1726,master-platinum,Falco,Falco,Final Destination,Player 1
1727,diamond-diamond,Jigglypuff,Falco,Pokémon Stadium,Player 1
1728,diamond-diamond,Jigglypuff,Peach,Fountain of Dreams,Player 1
1729,master-master,Sheik,Fox,Battlefield,Player 1
1730,master-master,Fox,Fox,Final Destination,Player 2
1731,platinum-diamond,Falco,Captain Falcon,Fountain of Dreams,Player 2
1732,platinum-diamond,Fox,Fox,Final Destination,Player 2
1733,master-diamond,Fox,Peach,Yoshi’s Story,Player 1
1734,master-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 1
1735,diamond-diamond,Mewtwo,Samus,Fountain of Dreams,Player 2
1736,platinum-platinum,Jigglypuff,Sheik,Final Destination,Player 2
1737,master-diamond,Peach,Jigglypuff,Dream Land,Player 2
1738,diamond-diamond,Fox,Ganondorf,Battlefield,Player 1
1739,master-master,Fox,Marth,Final Destination,Player 1
1740,platinum-diamond,Samus,Fox,Fountain of Dreams,Player 2
1741,diamond-diamond,Fox,Marth,Final Destination,Player 1
1742,platinum-diamond,Ice Climbers,Jigglypuff,Battlefield,Player 2
1743,master-platinum,Fox,Young Link,Fountain of Dreams,Player 2
1744,master-platinum,Marth,Falco,Final Destination,Player 1
1745,master-diamond,Falco,Mr. Game & Watch,Pokémon Stadium,Player 1
1746,platinum-diamond,Marth,Falco,Final Destination,Player 2
1747,diamond-diamond,Jigglypuff,Fox,Final Destination,Player 1
1748,master-diamond,Pikachu,Fox,Final Destination,Player 1
1749,diamond-diamond,Mr. Game & Watch,Fox,Battlefield,Player 1
1750,diamond-diamond,Falco,Fox,Fountain of Dreams,Player 2
1751,platinum-platinum,Fox,Falco,Pokémon Stadium,Player 1
1752,diamond-diamond,Marth,Mr. Game & Watch,Pokémon Stadium,Player 1
1753,platinum-platinum,Falco,Marth,Pokémon Stadium,Player 2
1754,platinum-platinum,Fox,Sheik,Dream Land,Player 2
1755,diamond-diamond,Samus,Falco,Fountain of Dreams,Player 2
1756,master-platinum,Samus,Falco,Pokémon Stadium,Player 1
1757,platinum-diamond,Fox,Fox,Yoshi’s Story,Player 2
1758,platinum-platinum,Samus,Falco,Yoshi’s Story,Player 1
1759,master-diamond,Fox,Marth,Final Destination,Player 2
1760,diamond-diamond,Fox,Sheik,Dream Land,Player 2
1761,master-diamond,Captain Falcon,Fox,Final Destination,Player 1
1762,platinum-platinum,Captain Falcon,Sheik,Yoshi’s Story,Player 2
1763,master-master,Sheik,Falco,Yoshi’s Story,Player 2
1764,master-master,Fox,Yoshi,Final Destination,Player 2
1765,master-platinum,Sheik,Falco,Yoshi’s Story,Player 1
1766,master-diamond,Fox,Peach,Final Destination,Player 2
1767,master-diamond,Jigglypuff,Fox,Yoshi’s Story,Player 2
1768,master-diamond,Fox,Bowser,Fountain of Dreams,Player 2
1769,master-diamond,Falco,Peach,Pokémon Stadium,Player 2
1770,master-diamond,Ganondorf,Samus,Yoshi’s Story,Player 1
1771,master-platinum,Peach,Fox,Yoshi’s Story,Player 2
1772,platinum-platinum,Luigi,Falco,Pokémon Stadium,Player 2
1773,diamond-diamond,Fox,Mewtwo,Fountain of Dreams,Player 1
1774,diamond-diamond,Captain Falcon,Peach,Final Destination,Player 2
1775,master-master,Captain Falcon,Fox,Final Destination,Player 2
1776,master-platinum,Falco,Fox,Dream Land,Player 2
1777,master-master,Fox,Sheik,Dream Land,Player 2
1778,master-platinum,Fox,Sheik,Final Destination,Player 1
1779,master-master,Fox,Peach,Fountain of Dreams,Player 2
1780,master-master,Samus,Falco,Battlefield,Player 2
1781,master-platinum,Captain Falcon,Falco,Final Destination,Player 2
1782,master-diamond,Marth,Fox,Yoshi’s Story,Player 1
1783,master-master,Marth,Fox,Pokémon Stadium,Player 1
1784,master-diamond,Fox,Peach,Yoshi’s Story,Player 2
1785,platinum-diamond,Marth,Fox,Fountain of Dreams,Player 2
1786,platinum-diamond,Falco,Falco,Yoshi’s Story,Player 1
1787,master-platinum,Dr. Mario,Fox,Pokémon Stadium,Player 1
1788,master-diamond,Falco,Sheik,Yoshi’s Story,Player 1
1789,master-diamond,Falco,Peach,Final Destination,Player 1
1790,master-master,Dr. Mario,Falco,Final Destination,Player 1
1791,master-diamond,Marth,Jigglypuff,Final Destination,Player 2
1792,platinum-diamond,Fox,Marth,Final Destination,Player 1
1793,master-diamond,Fox,Falco,Fountain of Dreams,Player 1
1794,master-diamond,Fox,Sheik,Final Destination,Player 1
1795,platinum-diamond,Falco,Marth,Final Destination,Player 2
1796,diamond-diamond,Fox,Luigi,Final Destination,Player 2
1797,master-platinum,Captain Falcon,Marth,Final Destination,Player 1
1798,master-master,Fox,Falco,Yoshi’s Story,Player 1
1799,diamond-diamond,Falco,Falco,Fountain of Dreams,Player 1
1800,master-master,Fox,Fox,Pokémon Stadium,Player 2
1801,platinum-platinum,Sheik,Marth,Battlefield,Player 1
1802,diamond-diamond,Marth,Sheik,Pokémon Stadium,Player 2
1803,master-diamond,Marth,Falco,Final Destination,Player 1
1804,master-diamond,Marth,Falco,Yoshi’s Story,Player 1
1805,master-master,Falco,Fox,Dream Land,Player 2
1806,diamond-diamond,Falco,Samus,Yoshi’s Story,Player 1
1807,platinum-platinum,Fox,Falco,Pokémon Stadium,Player 1
1808,diamond-diamond,Peach,Ice Climbers,Final Destination,Player 1
1809,diamond-diamond,Falco,Fox,Dream Land,Player 2
1810,platinum-platinum,Sheik,Falco,Final Destination,Player 2
1811,platinum-diamond,Falco,Fox,Fountain of Dreams,Player 1
1812,master-master,Falco,Sheik,Final Destination,Player 1
1813,platinum-diamond,Fox,Falco,Final Destination,Player 1
1814,platinum-platinum,Jigglypuff,Fox,Pokémon Stadium,Player 2
1815,platinum-diamond,Falco,Peach,Dream Land,Player 1
1816,master-diamond,Falco,Jigglypuff,Yoshi’s Story,Player 2
1817,master-diamond,Jigglypuff,Sheik,Final Destination,Player 1
1818,master-master,Falco,Fox,Battlefield,Player 2
1819,diamond-diamond,Link,Peach,Dream Land,Player 2
1820,master-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 1
1821,diamond-diamond,Falco,Marth,Pokémon Stadium,Player 2
1822,diamond-diamond,Falco,Samus,Yoshi’s Story,Player 2
1823,platinum-diamond,Fox,Falco,Fountain of Dreams,Player 2
1824,master-diamond,Dr. Mario,Fox,Pokémon Stadium,Player 2
1825,platinum-platinum,Falco,Jigglypuff,Final Destination,Player 2
1826,platinum-platinum,Marth,Samus,Yoshi’s Story,Player 1
1827,master-master,Luigi,Peach,Final Destination,Player 2
1828,diamond-diamond,Fox,Jigglypuff,Pokémon Stadium,Player 2
1829,master-master,Falco,Marth,Yoshi’s Story,Player 1
1830,diamond-diamond,Ice Climbers,Jigglypuff,Yoshi’s Story,Player 1
1831,master-master,Jigglypuff,Marth,Yoshi’s Story,Player 1
1832,master-master,Sheik,Fox,Final Destination,Player 1
1833,platinum-diamond,Falco,Falco,Pokémon Stadium,Player 1
1834,master-master,Samus,Falco,Yoshi’s Story,Player 1
1835,master-diamond,Luigi,Marth,Final Destination,Player 2
1836,platinum-diamond,Fox,Peach,Yoshi’s Story,Player 1
1837,master-diamond,Fox,Marth,Pokémon Stadium,Player 1
1838,master-diamond,Marth,Fox,Yoshi’s Story,Player 1
1839,master-diamond,Peach,Sheik,Final Destination,Player 2
1840,diamond-diamond,Marth,Falco,Final Destination,Player 1
1841,platinum-platinum,Marth,Falco,Yoshi’s Story,Player 2
1842,master-diamond,Peach,Mr. Game & Watch,Final Destination,Player 1
1843,master-diamond,Falco,Jigglypuff,Final Destination,Player 1
1844,platinum-diamond,Captain Falcon,Marth,Pokémon Stadium,Player 2
1845,master-diamond,Falco,Jigglypuff,Final Destination,Player 1
1846,diamond-diamond,Falco,Mewtwo,Yoshi’s Story,Player 2
1847,platinum-diamond,Fox,Captain Falcon,Pokémon Stadium,Player 1
1848,platinum-diamond,Marth,Fox,Final Destination,Player 2
1849,platinum-platinum,Captain Falcon,Fox,Yoshi’s Story,Player 1
1850,platinum-diamond,Jigglypuff,Peach,Fountain of Dreams,Player 2
1851,master-platinum,Fox,Marth,Final Destination,Player 1
1852,master-diamond,Fox,Link,Battlefield,Player 1
1853,platinum-diamond,Falco,Falco,Yoshi’s Story,Player 1
1854,master-platinum,Captain Falcon,Falco,Final Destination,Player 1
1855,master-platinum,Marth,Samus,Battlefield,Player 2
1856,master-master,Falco,Fox,Yoshi’s Story,Player 1
1857,platinum-platinum,Fox,Jigglypuff,Final Destination,Player 2
1858,diamond-diamond,Falco,Falco,Battlefield,Player 2
1859,diamond-diamond,Falco,Fox,Final Destination,Player 1
1860,diamond-diamond,Dr. Mario,Samus,Final Destination,Player 2
1861,master-platinum,Jigglypuff,Peach,Pokémon Stadium,Player 1
1862,diamond-diamond,Samus,Yoshi,Battlefield,Player 1
1863,master-master,Pikachu,Ice Climbers,Final Destination,Player 2
1864,master-diamond,Marth,Sheik,Pokémon Stadium,Player 1
1865,platinum-diamond,Peach,Ice Climbers,Final Destination,Player 1
1866,diamond-diamond,Falco,Falco,Final Destination,Player 2
1867,diamond-diamond,Peach,Fox,Final Destination,Player 2
1868,master-platinum,Falco,Mr. Game & Watch,Final Destination,Player 1
1869,platinum-platinum,Peach,Sheik,Final Destination,Player 1
1870,master-diamond,Fox,Samus,Final Destination,Player 1
1871,platinum-diamond,Sheik,Falco,Final Destination,Player 1
1872,master-master,Yoshi,Peach,Battlefield,Player 1
1873,platinum-platinum,Falco,Fox,Yoshi’s Story,Player 1
1874,master-diamond,Sheik,Link,Final Destination,Player 1
1875,platinum-diamond,Fox,Mr. Game & Watch,Fountain of Dreams,Player 2
1876,diamond-diamond,Jigglypuff,Fox,Pokémon Stadium,Player 2
1877,diamond-diamond,Jigglypuff,Marth,Pokémon Stadium,Player 1
1878,master-platinum,Marth,Falco,Yoshi’s Story,Player 2
1879,master-diamond,Falco,Falco,Pokémon Stadium,Player 1
1880,diamond-diamond,Luigi,Jigglypuff,Fountain of Dreams,Player 1
1881,diamond-diamond,Marth,Fox,Pokémon Stadium,Player 2
1882,platinum-platinum,Fox,Fox,Final Destination,Player 2
1883,platinum-platinum,Marth,Samus,Final Destination,Player 1
1884,diamond-diamond,Marth,Fox,Final Destination,Player 2
1885,master-platinum,Ice Climbers,Marth,Final Destination,Player 1
1886,platinum-diamond,Falco,Samus,Yoshi’s Story,Player 2
1887,platinum-diamond,Marth,Samus,Fountain of Dreams,Player 1
1888,master-master,Pikachu,Peach,Pokémon Stadium,Player 1
1889,master-master,Falco,Falco,Yoshi’s Story,Player 2
1890,master-platinum,Fox,Falco,Final Destination,Player 1
1891,diamond-diamond,Marth,Ice Climbers,Yoshi’s Story,Player 2
1892,master-master,Sheik,Sheik,Final Destination,Player 1
1893,master-platinum,Falco,Luigi,Pokémon Stadium,Player 2
1894,master-master,Marth,Fox,Dream Land,Player 2
1895,master-diamond,Marth,Samus,Final Destination,Player 2
1896,diamond-diamond,Marth,Samus,Battlefield,Player 1
1897,platinum-platinum,Peach,Fox,Final Destination,Player 1
1898,platinum-diamond,Marth,Yoshi,Pokémon Stadium,Player 2
1899,platinum-platinum,Ganondorf,Fox,Final Destination,Player 2
1900,platinum-diamond,Falco,Ness,Fountain of Dreams,Player 2
1901,platinum-platinum,Fox,Captain Falcon,Yoshi’s Story,Player 1
1902,platinum-diamond,Marth,Peach,Yoshi’s Story,Player 2
1903,master-diamond,Fox,Falco,Final Destination,Player 2
1904,master-diamond,Samus,Ness,Final Destination,Player 1
1905,master-diamond,Young Link,Ice Climbers,Battlefield,Player 2
1906,platinum-diamond,Peach,Marth,Pokémon Stadium,Player 2
1907,platinum-platinum,Roy,Fox,Pokémon Stadium,Player 1
1908,platinum-diamond,Falco,Fox,Final Destination,Player 1
1909,platinum-diamond,Samus,Fox,Pokémon Stadium,Player 1
1910,platinum-diamond,Marth,Fox,Yoshi’s Story,Player 1
1911,diamond-diamond,Samus,Ice Climbers,Battlefield,Player 2
1912,platinum-platinum,Marth,Falco,Final Destination,Player 2
1913,diamond-diamond,Fox,Falco,Dream Land,Player 2
1914,master-platinum,Fox,Sheik,Pokémon Stadium,Player 1
1915,master-platinum,Fox,Jigglypuff,Final Destination,Player 2
1916,platinum-platinum,Fox,Yoshi,Fountain of Dreams,Player 1
1917,diamond-diamond,Marth,Captain Falcon,Fountain of Dreams,Player 1
1918,master-diamond,Fox,Yoshi,Final Destination,Player 2
1919,diamond-diamond,Peach,Marth,Pokémon Stadium,Player 1
1920,master-diamond,Falco,Marth,Yoshi’s Story,Player 1
1921,master-master,Samus,Sheik,Battlefield,Player 2
1922,diamond-diamond,Captain Falcon,Marth,Battlefield,Player 1
1923,master-diamond,Falco,Marth,Pokémon Stadium,Player 2
1924,platinum-platinum,Peach,Marth,Final Destination,Player 2
1925,master-diamond,Marth,Falco,Final Destination,Player 2
1926,master-master,Jigglypuff,Peach,Yoshi’s Story,Player 2
1927,master-platinum,Jigglypuff,Fox,Fountain of Dreams,Player 1
1928,master-platinum,Donkey Kong,Ness,Fountain of Dreams,Player 2
1929,master-master,Jigglypuff,Samus,Fountain of Dreams,Player 2
1930,platinum-diamond,Luigi,Fox,Pokémon Stadium,Player 2
1931,master-diamond,Fox,Mewtwo,Pokémon Stadium,Player 1
1932,master-diamond,Pikachu,Falco,Final Destination,Player 1
1933,master-platinum,Sheik,Fox,Yoshi’s Story,Player 2
1934,diamond-diamond,Falco,Falco,Final Destination,Player 1
1935,diamond-diamond,Falco,Ganondorf,Yoshi’s Story,Player 2
1936,platinum-diamond,Fox,Sheik,Final Destination,Player 1
1937,master-platinum,Fox,Falco,Final Destination,Player 1
1938,master-master,Pikachu,Marth,Yoshi’s Story,Player 1
1939,diamond-diamond,Link,Pikachu,Final Destination,Player 2
1940,master-diamond,Captain Falcon,Sheik,Yoshi’s Story,Player 1
1941,master-platinum,Ice Climbers,Fox,Final Destination,Player 1
1942,diamond-diamond,Fox,Peach,Dream Land,Player 2
1943,master-diamond,Falco,Fox,Yoshi’s Story,Player 1
1944,platinum-platinum,Fox,Peach,Battlefield,Player 2
1945,master-master,Fox,Yoshi,Dream Land,Player 2
1946,diamond-diamond,Peach,Fox,Yoshi’s Story,Player 2
1947,platinum-platinum,Marth,Roy,Dream Land,Player 2
1948,master-platinum,Jigglypuff,Fox,Yoshi’s Story,Player 2
1949,platinum-diamond,Sheik,Fox,Final Destination,Player 2
1950,diamond-diamond,Falco,Fox,Yoshi’s Story,Player 2
1951,diamond-diamond,Ness,Falco,Dream Land,Player 2
1952,diamond-diamond,Samus,Peach,Final Destination,Player 2
1953,platinum-diamond,Peach,Fox,Yoshi’s Story,Player 2
1954,diamond-diamond,Mario,Falco,Yoshi’s Story,Player 2
1955,platinum-diamond,Ganondorf,Fox,Final Destination,Player 1
1956,platinum-diamond,Sheik,Fox,Dream Land,Player 1
1957,master-platinum,Falco,Link,Pokémon Stadium,Player 1
1958,platinum-diamond,Marth,Link,Final Destination,Player 1
1959,platinum-platinum,Fox,Samus,Final Destination,Player 2
1960,platinum-diamond,Jigglypuff,Falco,Yoshi’s Story,Player 2
1961,master-diamond,Ganondorf,Fox,Dream Land,Player 2
1962,diamond-diamond,Mewtwo,Falco,Pokémon Stadium,Player 1
1963,diamond-diamond,Mewtwo,Falco,Final Destination,Player 2
1964,master-master,Sheik,Fox,Pokémon Stadium,Player 1
1965,platinum-diamond,Peach,Falco,Fountain of Dreams,Player 2
1966,master-diamond,Fox,Falco,Dream Land,Player 2
1967,diamond-diamond,Falco,Fox,Pokémon Stadium,Player 1
1968,platinum-platinum,Ice Climbers,Peach,Pokémon Stadium,Player 2
1969,platinum-platinum,Luigi,Peach,Pokémon Stadium,Player 2
1970,master-platinum,Fox,Marth,Pokémon Stadium,Player 1
1971,diamond-diamond,Falco,Marth,Pokémon Stadium,Player 1
1972,master-diamond,Fox,Yoshi,Final Destination,Player 2
1973,master-platinum,Captain Falcon,Fox,Yoshi’s Story,Player 2
1974,platinum-diamond,Falco,Luigi,Battlefield,Player 2
1975,master-diamond,Falco,Jigglypuff,Final Destination,Player 2
1976,diamond-diamond,Falco,Captain Falcon,Pokémon Stadium,Player 2
1977,diamond-diamond,Peach,Sheik,Final Destination,Player 2
1978,diamond-diamond,Fox,Ness,Battlefield,Player 1
1979,master-diamond,Captain Falcon,Falco,Pokémon Stadium,Player 1
1980,diamond-diamond,Falco,Marth,Final Destination,Player 2
1981,master-master,Fox,Fox,Pokémon Stadium,Player 2
1982,master-platinum,Falco,Marth,Final Destination,Player 2
1983,platinum-platinum,Falco,Sheik,Yoshi’s Story,Player 1
1984,master-master,Captain Falcon,Kirby,Dream Land,Player 1
1985,platinum-platinum,Peach,Captain Falcon,Dream Land,Player 2
1986,master-master,Peach,Falco,Final Destination,Player 1
1987,diamond-diamond,Marth,Samus,Pokémon Stadium,Player 1
1988,master-diamond,Ganondorf,Jigglypuff,Final Destination,Player 2
1989,platinum-platinum,Fox,Link,Final Destination,Player 2
1990,platinum-diamond,Falco,Mewtwo,Pokémon Stadium,Player 2
1991,master-platinum,Marth,Falco,Pokémon Stadium,Player 1
1992,platinum-diamond,Samus,Yoshi,Final Destination,Player 2
1993,diamond-diamond,Falco,Fox,Final Destination,Player 2
1994,diamond-diamond,Fox,Jigglypuff,Dream Land,Player 2
1995,master-master,Falco,Fox,Fountain of Dreams,Player 1
1996,master-master,Captain Falcon,Falco,Final Destination,Player 1
1997,diamond-diamond,Mewtwo,Fox,Pokémon Stadium,Player 2
1998,master-platinum,Fox,Yoshi,Final Destination,Player 2
1999,master-diamond,Captain Falcon,Mewtwo,Final Destination,Player 1
2000,diamond-diamond,Luigi,Fox,Pokémon Stadium,Player 1
2001,platinum-diamond,Samus,Marth,Final Destination,Player 1
2002,master-master,Peach,Fox,Yoshi’s Story,Player 2
2003,diamond-diamond,Fox,Falco,Final Destination,Player 1
2004,master-master,Yoshi,Captain Falcon,Final Destination,Player 2
2005,diamond-diamond,Fox,Fox,Final Destination,Player 2
2006,platinum-platinum,Falco,Fox,Final Destination,Player 2
2007,diamond-diamond,Sheik,Falco,Fountain of Dreams,Player 1
2008,diamond-diamond,Falco,Falco,Final Destination,Player 2
2009,platinum-diamond,Fox,Dr. Mario,Pokémon Stadium,Player 2
2010,master-master,Marth,Fox,Final Destination,Player 1
2011,platinum-platinum,Peach,Falco,Pokémon Stadium,Player 1
2012,platinum-platinum,Peach,Ice Climbers,Pokémon Stadium,Player 2
2013,master-master,Peach,Jigglypuff,Fountain of Dreams,Player 1
2014,master-master,Yoshi,Sheik,Final Destination,Player 1
2015,master-master,Marth,Fox,Yoshi’s Story,Player 2
2016,master-diamond,Fox,Marth,Fountain of Dreams,Player 1
2017,platinum-diamond,Fox,Falco,Final Destination,Player 1
2018,platinum-platinum,Ness,Jigglypuff,Final Destination,Player 2
2019,diamond-diamond,Fox,Peach,Yoshi’s Story,Player 2
2020,diamond-diamond,Captain Falcon,Jigglypuff,Fountain of Dreams,Player 2
2021,master-platinum,Ganondorf,Sheik,Final Destination,Player 1
2022,master-master,Link,Peach,Final Destination,Player 1
2023,master-platinum,Falco,Peach,Dream Land,Player 1
2024,diamond-diamond,Captain Falcon,Captain Falcon,Dream Land,Player 2
2025,master-master,Jigglypuff,Fox,Fountain of Dreams,Player 1
2026,diamond-diamond,Falco,Falco,Final Destination,Player 2
2027,master-diamond,Captain Falcon,Fox,Yoshi’s Story,Player 1
2028,master-platinum,Captain Falcon,Fox,Pokémon Stadium,Player 2
2029,platinum-platinum,Fox,Samus,Pokémon Stadium,Player 2
2030,master-diamond,Falco,Falco,Pokémon Stadium,Player 2
2031,master-master,Fox,Falco,Final Destination,Player 2
2032,master-master,Peach,Sheik,Final Destination,Player 2
2033,master-diamond,Ganondorf,Ice Climbers,Final Destination,Player 1
2034,master-platinum,Falco,Ness,Dream Land,Player 1
2035,master-diamond,Jigglypuff,Marth,Fountain of Dreams,Player 1
2036,diamond-diamond,Jigglypuff,Falco,Final Destination,Player 1
2037,diamond-diamond,Peach,Link,Final Destination,Player 2
2038,master-platinum,Fox,Fox,Pokémon Stadium,Player 1
2039,master-diamond,Fox,Captain Falcon,Dream Land,Player 1
2040,master-platinum,Captain Falcon,Fox,Yoshi’s Story,Player 2
2041,platinum-diamond,Fox,Falco,Final Destination,Player 2
2042,master-platinum,Pikachu,Falco,Final Destination,Player 1
2043,master-platinum,Fox,Sheik,Final Destination,Player 1
2044,master-diamond,Fox,Ness,Dream Land,Player 2
2045,master-platinum,Fox,Falco,Final Destination,Player 2
2046,diamond-diamond,Peach,Falco,Pokémon Stadium,Player 2
2047,platinum-diamond,Marth,Fox,Fountain of Dreams,Player 2
2048,diamond-diamond,Fox,Peach,Battlefield,Player 2
2049,platinum-platinum,Marth,Samus,Final Destination,Player 2
2050,diamond-diamond,Fox,Jigglypuff,Final Destination,Player 1
2051,master-diamond,Falco,Falco,Pokémon Stadium,Player 1
2052,platinum-diamond,Captain Falcon,Fox,Final Destination,Player 2
2053,master-master,Marth,Fox,Yoshi’s Story,Player 1
2054,platinum-diamond,Samus,Fox,Pokémon Stadium,Player 1
2055,platinum-platinum,Fox,Fox,Battlefield,Player 1
2056,diamond-diamond,Fox,Fox,Final Destination,Player 1
2057,platinum-platinum,Captain Falcon,Falco,Battlefield,Player 2
2058,master-diamond,Dr. Mario,Pikachu,Battlefield,Player 1
2059,master-platinum,Falco,Marth,Yoshi’s Story,Player 1
2060,diamond-diamond,Captain Falcon,Ness,Battlefield,Player 1
2061,master-platinum,Fox,Jigglypuff,Yoshi’s Story,Player 2
