Rank,Player 1,Player 2,Stage,Winner
diamond-diamond,Marth,Samus,Fountain of Dreams,Player 1
diamond-diamond,Falco,Marth,Pokémon Stadium,Player 1
diamond-diamond,Samus,Jigglypuff,Dream Land,Player 2
diamond-diamond,Falco,Falco,Fountain of Dreams,Player 1
diamond-diamond,Falco,Falco,Pokémon Stadium,Player 2
diamond-diamond,Falco,Luigi,Yoshi’s Story,Player 1
diamond-diamond,Falco,Falco,Final Destination,Player 2
diamond-diamond,Falco,Falco,Dream Land,Player 2
diamond-diamond,Samus,Peach,Fountain of Dreams,Player 2
diamond-diamond,Fox,Jigglypuff,Final Destination,Player 2
diamond-diamond,Mr. Game & Watch,Falco,Final Destination,Player 1
diamond-diamond,Sheik,Bowser,Fountain of Dreams,Player 1
diamond-diamond,Peach,Captain Falcon,Fountain of Dreams,Player 2
diamond-diamond,Fox,Fox,Battlefield,Player 1
diamond-diamond,Ice Climbers,Jigglypuff,Yoshi’s Story,Player 1
diamond-diamond,Mr. Game & Watch,Fox,Final Destination,Player 2
diamond-diamond,Sheik,Mewtwo,Pokémon Stadium,Player 1
diamond-diamond,Falco,Fox,Pokémon Stadium,Player 1
diamond-diamond,Marth,Fox,Final Destination,Player 2
diamond-diamond,Young Link,Falco,Pokémon Stadium,Player 1
diamond-diamond,Peach,Fox,Final Destination,Player 1
diamond-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 1
diamond-diamond,Fox,Jigglypuff,Final Destination,Player 1
diamond-diamond,Marth,Mr. Game & Watch,Yoshi’s Story,Player 1
diamond-diamond,Falco,Captain Falcon,Pokémon Stadium,Player 2
diamond-diamond,Marth,Fox,Final Destination,Player 2
diamond-diamond,Mewtwo,Falco,Final Destination,Player 2
diamond-diamond,Fox,Marth,Pokémon Stadium,Player 2
diamond-diamond,Fox,Falco,Yoshi’s Story,Player 2
diamond-diamond,Falco,Fox,Yoshi’s Story,Player 2
diamond-diamond,Zelda/Sheik,Mr. Game & Watch,Yoshi’s Story,Player 1
diamond-diamond,Falco,Samus,Dream Land,Player 2
diamond-diamond,Peach,Falco,Final Destination,Player 2
diamond-diamond,Dr. Mario,Samus,Battlefield,Player 2
diamond-diamond,Falco,Fox,Final Destination,Player 1
diamond-diamond,Fox,Fox,Final Destination,Player 2
diamond-diamond,Falco,Falco,Pokémon Stadium,Player 1
diamond-diamond,Ice Climbers,Falco,Fountain of Dreams,Player 1
diamond-diamond,Mr. Game & Watch,Mario,Battlefield,Player 2
diamond-diamond,Marth,Captain Falcon,Fountain of Dreams,Player 1
diamond-diamond,Marth,Link,Pokémon Stadium,Player 2
diamond-diamond,Jigglypuff,Falco,Final Destination,Player 1
diamond-diamond,Samus,Ice Climbers,Final Destination,Player 2
diamond-diamond,Sheik,Mr. Game & Watch,Fountain of Dreams,Player 2
diamond-diamond,Dr. Mario,Captain Falcon,Yoshi’s Story,Player 1
diamond-diamond,Samus,Roy,Fountain of Dreams,Player 1
diamond-diamond,Sheik,Captain Falcon,Final Destination,Player 1
diamond-diamond,Peach,Falco,Pokémon Stadium,Player 1
diamond-diamond,Falco,Falco,Final Destination,Player 1
diamond-diamond,Marth,Falco,Final Destination,Player 2
diamond-diamond,Jigglypuff,Jigglypuff,Final Destination,Player 1
diamond-diamond,Falco,Falco,Yoshi’s Story,Player 1
diamond-diamond,Fox,Falco,Fountain of Dreams,Player 1
diamond-diamond,Ness,Mr. Game & Watch,Pokémon Stadium,Player 2
diamond-diamond,Mr. Game & Watch,Fox,Yoshi’s Story,Player 2
diamond-diamond,Fox,Fox,Pokémon Stadium,Player 2
diamond-diamond,Fox,Ganondorf,Pokémon Stadium,Player 1
diamond-diamond,Mr. Game & Watch,Mario,Final Destination,Player 1
diamond-diamond,Jigglypuff,Fox,Final Destination,Player 1
diamond-diamond,Sheik,Mr. Game & Watch,Battlefield,Player 2
diamond-diamond,Peach,Fox,Final Destination,Player 1
diamond-diamond,Ice Climbers,Marth,Pokémon Stadium,Player 1
diamond-diamond,Fox,Fox,Yoshi’s Story,Player 1
diamond-diamond,Fox,Mr. Game & Watch,Final Destination,Player 2
diamond-diamond,Marth,Fox,Pokémon Stadium,Player 2
diamond-diamond,Falco,Ice Climbers,Final Destination,Player 2
diamond-diamond,Falco,Mr. Game & Watch,Dream Land,Player 2
diamond-diamond,Captain Falcon,Dr. Mario,Pokémon Stadium,Player 2
diamond-diamond,Sheik,Falco,Fountain of Dreams,Player 2
diamond-diamond,Link,Marth,Fountain of Dreams,Player 2
diamond-diamond,Falco,Fox,Pokémon Stadium,Player 2
diamond-diamond,Fox,Dr. Mario,Final Destination,Player 2
diamond-diamond,Dr. Mario,Samus,Final Destination,Player 2
diamond-diamond,Ganondorf,Marth,Final Destination,Player 1
diamond-diamond,Fox,Mewtwo,Fountain of Dreams,Player 1
diamond-diamond,Falco,Falco,Pokémon Stadium,Player 2
diamond-diamond,Fox,Sheik,Pokémon Stadium,Player 2
diamond-diamond,Fox,Fox,Pokémon Stadium,Player 1
diamond-diamond,Falco,Jigglypuff,Pokémon Stadium,Player 1
diamond-diamond,Peach,Fox,Fountain of Dreams,Player 2
diamond-diamond,Marth,Falco,Pokémon Stadium,Player 2
diamond-diamond,Fox,Falco,Yoshi’s Story,Player 1
diamond-diamond,Marth,Captain Falcon,Final Destination,Player 1
diamond-diamond,Falco,Ganondorf,Yoshi’s Story,Player 2
diamond-diamond,Sheik,Captain Falcon,Final Destination,Player 1
diamond-diamond,Fox,Marth,Yoshi’s Story,Player 1
diamond-diamond,Falco,Fox,Final Destination,Player 2
diamond-diamond,Fox,Marth,Pokémon Stadium,Player 2
diamond-diamond,Fox,Samus,Fountain of Dreams,Player 1
diamond-diamond,Peach,Falco,Dream Land,Player 1
diamond-diamond,Falco,Sheik,Final Destination,Player 2
diamond-diamond,Captain Falcon,Falco,Final Destination,Player 2
diamond-diamond,Fox,Fox,Pokémon Stadium,Player 2
diamond-diamond,Falco,Captain Falcon,Pokémon Stadium,Player 1
diamond-diamond,Marth,Falco,Final Destination,Player 1
diamond-diamond,Marth,Falco,Pokémon Stadium,Player 1
diamond-diamond,Marth,Mr. Game & Watch,Pokémon Stadium,Player 1
diamond-diamond,Falco,Sheik,Final Destination,Player 2
diamond-diamond,Marth,Fox,Pokémon Stadium,Player 1
diamond-diamond,Ness,Falco,Dream Land,Player 2
diamond-diamond,Falco,Fox,Final Destination,Player 1
diamond-diamond,Jigglypuff,Marth,Final Destination,Player 1
diamond-diamond,Ice Climbers,Fox,Fountain of Dreams,Player 2
diamond-diamond,Mr. Game & Watch,Peach,Fountain of Dreams,Player 2
diamond-diamond,Jigglypuff,Peach,Final Destination,Player 2
diamond-diamond,Fox,Fox,Pokémon Stadium,Player 1
diamond-diamond,Marth,Samus,Battlefield,Player 2
diamond-diamond,Sheik,Falco,Final Destination,Player 1
diamond-diamond,Luigi,Samus,Final Destination,Player 2
diamond-diamond,Falco,Falco,Yoshi’s Story,Player 2
diamond-diamond,Young Link,Sheik,Fountain of Dreams,Player 2
diamond-diamond,Ice Climbers,Sheik,Dream Land,Player 2
diamond-diamond,Fox,Yoshi,Yoshi’s Story,Player 1
diamond-diamond,Captain Falcon,Fox,Dream Land,Player 2
diamond-diamond,Samus,Peach,Yoshi’s Story,Player 1
diamond-diamond,Fox,Ness,Battlefield,Player 1
diamond-diamond,Samus,Sheik,Fountain of Dreams,Player 1
diamond-diamond,Falco,Captain Falcon,Yoshi’s Story,Player 1
diamond-diamond,Mewtwo,Falco,Pokémon Stadium,Player 1
diamond-diamond,Fox,Fox,Pokémon Stadium,Player 2
diamond-diamond,Sheik,Peach,Yoshi’s Story,Player 2
diamond-diamond,Ganondorf,Fox,Pokémon Stadium,Player 2
diamond-diamond,Samus,Mr. Game & Watch,Final Destination,Player 2
diamond-diamond,Captain Falcon,Ice Climbers,Pokémon Stadium,Player 2
diamond-diamond,Fox,Marth,Pokémon Stadium,Player 2
diamond-diamond,Peach,Donkey Kong,Battlefield,Player 2
diamond-diamond,Falco,Samus,Yoshi’s Story,Player 1
diamond-diamond,Samus,Falco,Pokémon Stadium,Player 2
diamond-diamond,Falco,Peach,Final Destination,Player 2
diamond-diamond,Falco,Falco,Pokémon Stadium,Player 2
diamond-diamond,Sheik,Captain Falcon,Final Destination,Player 1
diamond-diamond,Captain Falcon,Samus,Final Destination,Player 1
diamond-diamond,Falco,Jigglypuff,Final Destination,Player 2
diamond-diamond,Peach,Sheik,Final Destination,Player 2
diamond-diamond,Ganondorf,Luigi,Yoshi’s Story,Player 1
diamond-diamond,Fox,Ness,Battlefield,Player 1
diamond-diamond,Fox,Fox,Final Destination,Player 2
diamond-diamond,Samus,Falco,Fountain of Dreams,Player 2
diamond-diamond,Captain Falcon,Jigglypuff,Final Destination,Player 2
diamond-diamond,Mr. Game & Watch,Sheik,Fountain of Dreams,Player 1
diamond-diamond,Mewtwo,Fox,Pokémon Stadium,Player 1
diamond-diamond,Fox,Jigglypuff,Pokémon Stadium,Player 1
diamond-diamond,Falco,Captain Falcon,Final Destination,Player 2
diamond-diamond,Sheik,Marth,Fountain of Dreams,Player 1
diamond-diamond,Captain Falcon,Fox,Pokémon Stadium,Player 2
diamond-diamond,Falco,Fox,Yoshi’s Story,Player 2
diamond-diamond,Jigglypuff,Sheik,Final Destination,Player 1
diamond-diamond,Falco,Luigi,Final Destination,Player 1
diamond-diamond,Fox,Jigglypuff,Pokémon Stadium,Player 2
diamond-diamond,Marth,Fox,Pokémon Stadium,Player 1
diamond-diamond,Marth,Mr. Game & Watch,Fountain of Dreams,Player 1
diamond-diamond,Fox,Falco,Pokémon Stadium,Player 1
diamond-diamond,Fox,Falco,Pokémon Stadium,Player 1
diamond-diamond,Falco,Fox,Final Destination,Player 1
diamond-diamond,Sheik,Marth,Final Destination,Player 2
diamond-diamond,Marth,Ice Climbers,Yoshi’s Story,Player 2
diamond-diamond,Falco,Dr. Mario,Yoshi’s Story,Player 1
diamond-diamond,Ice Climbers,Fox,Pokémon Stadium,Player 1
diamond-diamond,Fox,Fox,Final Destination,Player 2
diamond-diamond,Peach,Marth,Battlefield,Player 2
diamond-diamond,Marth,Marth,Final Destination,Player 2
diamond-diamond,Falco,Peach,Fountain of Dreams,Player 2
diamond-diamond,Fox,Falco,Yoshi’s Story,Player 1
diamond-diamond,Falco,Dr. Mario,Fountain of Dreams,Player 1
diamond-diamond,Marth,Falco,Final Destination,Player 1
diamond-diamond,Falco,Jigglypuff,Fountain of Dreams,Player 2
diamond-diamond,Marth,Fox,Yoshi’s Story,Parità
diamond-diamond,Mr. Game & Watch,Fox,Battlefield,Player 1
diamond-diamond,Link,Marth,Final Destination,Player 2
diamond-diamond,Samus,Fox,Yoshi’s Story,Player 1
diamond-diamond,Peach,Jigglypuff,Fountain of Dreams,Player 1
diamond-diamond,Fox,Falco,Yoshi’s Story,Player 2
diamond-diamond,Falco,Fox,Dream Land,Player 2
diamond-diamond,Ice Climbers,Fox,Dream Land,Player 1
diamond-diamond,Peach,Jigglypuff,Yoshi’s Story,Player 2
diamond-diamond,Marth,Captain Falcon,Final Destination,Player 2
diamond-diamond,Ness,Fox,Final Destination,Player 1
diamond-diamond,Fox,Falco,Battlefield,Player 2
diamond-diamond,Falco,Pichu,Pokémon Stadium,Player 2
diamond-diamond,Falco,Fox,Final Destination,Player 2
diamond-diamond,Bowser,Falco,Yoshi’s Story,Player 1
diamond-diamond,Falco,Marth,Pokémon Stadium,Player 1
diamond-diamond,Mario,Falco,Battlefield,Player 2
diamond-diamond,Fox,Fox,Final Destination,Player 2
diamond-diamond,Sheik,Ganondorf,Dream Land,Player 1
diamond-diamond,Jigglypuff,Captain Falcon,Pokémon Stadium,Player 2
diamond-diamond,Captain Falcon,Ness,Battlefield,Player 1
diamond-diamond,Samus,Marth,Battlefield,Player 1
diamond-diamond,Falco,Peach,Fountain of Dreams,Player 2
diamond-diamond,Dr. Mario,Marth,Yoshi’s Story,Player 2
diamond-diamond,Falco,Ness,Dream Land,Player 1
diamond-diamond,Fox,Fox,Dream Land,Player 1
diamond-diamond,Falco,Falco,Final Destination,Player 2
diamond-diamond,Falco,Fox,Yoshi’s Story,Parità
diamond-diamond,Samus,Ness,Fountain of Dreams,Player 2
diamond-diamond,Marth,Sheik,Pokémon Stadium,Player 2
diamond-diamond,Mewtwo,Fox,Final Destination,Player 1
diamond-diamond,Fox,Fox,Final Destination,Player 2
diamond-diamond,Captain Falcon,Falco,Pokémon Stadium,Player 2
diamond-diamond,Fox,Sheik,Dream Land,Player 2
diamond-diamond,Jigglypuff,Fox,Pokémon Stadium,Player 1
diamond-diamond,Captain Falcon,Jigglypuff,Fountain of Dreams,Player 2
diamond-diamond,Falco,Ice Climbers,Pokémon Stadium,Player 1
diamond-diamond,Fox,Yoshi,Fountain of Dreams,Player 1
diamond-diamond,Luigi,Fox,Final Destination,Player 2
diamond-diamond,Ness,Zelda/Sheik,Pokémon Stadium,Player 1
diamond-diamond,Mr. Game & Watch,Peach,Final Destination,Player 2
diamond-diamond,Fox,Fox,Pokémon Stadium,Player 2
diamond-diamond,Ness,Falco,Yoshi’s Story,Player 2
diamond-diamond,Samus,Captain Falcon,Pokémon Stadium,Player 1
diamond-diamond,Marth,Ice Climbers,Yoshi’s Story,Player 2
diamond-diamond,Mewtwo,Fox,Pokémon Stadium,Player 2
diamond-diamond,Marth,Marth,Pokémon Stadium,Player 2
diamond-diamond,Samus,Fox,Yoshi’s Story,Player 2
diamond-diamond,Ness,Marth,Yoshi’s Story,Player 1
diamond-diamond,Falco,Mewtwo,Battlefield,Player 2
diamond-diamond,Ganondorf,Captain Falcon,Final Destination,Player 2
diamond-diamond,Falco,Falco,Final Destination,Parità
diamond-diamond,Marth,Fox,Yoshi’s Story,Player 2
diamond-diamond,Ice Climbers,Marth,Final Destination,Player 1
diamond-diamond,Falco,Captain Falcon,Yoshi’s Story,Player 2
diamond-diamond,Jigglypuff,Fox,Final Destination,Player 1
diamond-diamond,Falco,Fox,Final Destination,Player 1
diamond-diamond,Ganondorf,Falco,Yoshi’s Story,Player 1
diamond-diamond,Marth,Dr. Mario,Yoshi’s Story,Player 1
diamond-diamond,Marth,Falco,Pokémon Stadium,Player 2
diamond-diamond,Marth,Luigi,Fountain of Dreams,Player 1
diamond-diamond,Marth,Fox,Final Destination,Player 2
diamond-diamond,Ness,Fox,Final Destination,Player 2
diamond-diamond,Fox,Fox,Yoshi’s Story,Player 2
diamond-diamond,Fox,Peach,Yoshi’s Story,Player 1
diamond-diamond,Jigglypuff,Sheik,Yoshi’s Story,Player 2
diamond-diamond,Ness,Captain Falcon,Dream Land,Player 1
diamond-diamond,Falco,Falco,Pokémon Stadium,Player 2
diamond-diamond,Falco,Peach,Final Destination,Player 1
diamond-diamond,Falco,Marth,Pokémon Stadium,Player 1
diamond-diamond,Fox,Fox,Pokémon Stadium,Player 2
diamond-diamond,Peach,Peach,Yoshi’s Story,Player 1
diamond-diamond,Fox,Falco,Final Destination,Player 1
diamond-diamond,Ice Climbers,Mr. Game & Watch,Battlefield,Player 2
diamond-diamond,Jigglypuff,Falco,Pokémon Stadium,Player 1
diamond-diamond,Falco,Falco,Yoshi’s Story,Player 1
diamond-diamond,Fox,Captain Falcon,Pokémon Stadium,Player 1
diamond-diamond,Sheik,Marth,Pokémon Stadium,Player 1
diamond-diamond,Fox,Peach,Final Destination,Player 2
diamond-diamond,Fox,Falco,Final Destination,Player 1
diamond-diamond,Fox,Sheik,Dream Land,Player 2
diamond-diamond,Peach,Samus,Pokémon Stadium,Player 2
diamond-diamond,Fox,Falco,Yoshi’s Story,Player 1
diamond-diamond,Fox,Fox,Final Destination,Player 2
diamond-diamond,Falco,Marth,Fountain of Dreams,Player 1
diamond-diamond,Peach,Fox,Final Destination,Player 2
diamond-diamond,Falco,Jigglypuff,Dream Land,Player 2
diamond-diamond,Falco,Ganondorf,Yoshi’s Story,Player 2
diamond-diamond,Fox,Samus,Final Destination,Player 1
diamond-diamond,Mr. Game & Watch,Fox,Final Destination,Player 1
diamond-diamond,Fox,Fox,Yoshi’s Story,Player 2
diamond-diamond,Falco,Fox,Final Destination,Player 1
diamond-diamond,Falco,Sheik,Final Destination,Player 1
diamond-diamond,Peach,Fox,Dream Land,Player 1
diamond-diamond,Falco,Falco,Final Destination,Player 2
diamond-diamond,Pichu,Marth,Pokémon Stadium,Player 1
diamond-diamond,Dr. Mario,Peach,Battlefield,Player 1
diamond-diamond,Ice Climbers,Fox,Pokémon Stadium,Player 1
diamond-diamond,Yoshi,Link,Final Destination,Player 1
diamond-diamond,Mr. Game & Watch,Marth,Battlefield,Player 1
diamond-diamond,Falco,Falco,Yoshi’s Story,Player 2
diamond-diamond,Peach,Falco,Pokémon Stadium,Player 2
diamond-diamond,Fox,Marth,Final Destination,Parità
diamond-diamond,Falco,Marth,Final Destination,Player 2
diamond-diamond,Fox,Falco,Yoshi’s Story,Player 2
diamond-diamond,Captain Falcon,Falco,Yoshi’s Story,Parità
diamond-diamond,Fox,Sheik,Pokémon Stadium,Player 1
diamond-diamond,Falco,Mewtwo,Pokémon Stadium,Player 2
diamond-diamond,Falco,Mr. Game & Watch,Final Destination,Player 2
diamond-diamond,Fox,Samus,Pokémon Stadium,Player 1
diamond-diamond,Captain Falcon,Ganondorf,Yoshi’s Story,Player 1
diamond-diamond,Samus,Falco,Fountain of Dreams,Player 1
diamond-diamond,Samus,Peach,Final Destination,Player 2
diamond-diamond,Marth,Yoshi,Yoshi’s Story,Player 2
diamond-diamond,Ice Climbers,Samus,Dream Land,Player 2
diamond-diamond,Fox,Jigglypuff,Dream Land,Player 2
diamond-diamond,Marth,Falco,Final Destination,Player 1
diamond-diamond,Fox,Sheik,Dream Land,Player 2
diamond-diamond,Falco,Fox,Dream Land,Player 2
diamond-diamond,Falco,Mewtwo,Final Destination,Player 1
diamond-diamond,Mewtwo,Jigglypuff,Fountain of Dreams,Player 2
diamond-diamond,Samus,Mewtwo,Dream Land,Player 2
diamond-diamond,Fox,Falco,Dream Land,Player 2
diamond-diamond,Sheik,Marth,Yoshi’s Story,Player 1
diamond-diamond,Samus,Luigi,Pokémon Stadium,Player 1
diamond-diamond,Zelda/Sheik,Sheik,Final Destination,Player 2
diamond-diamond,Falco,Falco,Battlefield,Player 1
diamond-diamond,Fox,Sheik,Final Destination,Player 2
diamond-diamond,Sheik,Ice Climbers,Yoshi’s Story,Player 2
diamond-diamond,Ganondorf,Falco,Fountain of Dreams,Player 1
diamond-diamond,Peach,Ice Climbers,Final Destination,Player 1
diamond-diamond,Ice Climbers,Falco,Final Destination,Player 1
diamond-diamond,Sheik,Falco,Fountain of Dreams,Player 1
diamond-diamond,Ness,Fox,Dream Land,Player 2
diamond-diamond,Fox,Samus,Pokémon Stadium,Player 1
diamond-diamond,Fox,Dr. Mario,Final Destination,Player 2
diamond-diamond,Fox,Ness,Final Destination,Player 1
diamond-diamond,Fox,Jigglypuff,Pokémon Stadium,Player 2
diamond-diamond,Jigglypuff,Ness,Yoshi’s Story,Player 1
diamond-diamond,Captain Falcon,Falco,Final Destination,Player 2
diamond-diamond,Ness,Luigi,Yoshi’s Story,Player 2
diamond-diamond,Samus,Falco,Final Destination,Player 1
diamond-diamond,Luigi,Fox,Pokémon Stadium,Player 1
diamond-diamond,Falco,Fox,Final Destination,Player 1
diamond-diamond,Marth,Fox,Fountain of Dreams,Player 2
diamond-diamond,Samus,Marth,Yoshi’s Story,Parità
diamond-diamond,Falco,Falco,Pokémon Stadium,Player 1
diamond-diamond,Jigglypuff,Falco,Yoshi’s Story,Player 1
diamond-diamond,Fox,Jigglypuff,Final Destination,Player 1
diamond-diamond,Falco,Falco,Pokémon Stadium,Player 1
diamond-diamond,Falco,Jigglypuff,Final Destination,Player 1
diamond-diamond,Falco,Marth,Final Destination,Player 1
diamond-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 2
diamond-diamond,Fox,Marth,Fountain of Dreams,Player 2
diamond-diamond,Link,Bowser,Fountain of Dreams,Player 1
diamond-diamond,Peach,Fox,Final Destination,Player 1
diamond-diamond,Fox,Falco,Yoshi’s Story,Player 1
diamond-diamond,Falco,Fox,Battlefield,Player 1
diamond-diamond,Link,Sheik,Final Destination,Player 2
diamond-diamond,Roy,Falco,Pokémon Stadium,Player 2
diamond-diamond,Falco,Falco,Final Destination,Player 2
diamond-diamond,Falco,Ness,Fountain of Dreams,Player 2
diamond-diamond,Fox,Falco,Yoshi’s Story,Player 1
diamond-diamond,Jigglypuff,Falco,Final Destination,Player 2
diamond-diamond,Fox,Marth,Final Destination,Player 1
diamond-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 2
diamond-diamond,Fox,Fox,Pokémon Stadium,Player 2
diamond-diamond,Fox,Jigglypuff,Final Destination,Player 1
diamond-diamond,Falco,Marth,Yoshi’s Story,Player 2
diamond-diamond,Falco,Samus,Fountain of Dreams,Player 1
diamond-diamond,Peach,Fox,Final Destination,Player 1
diamond-diamond,Falco,Marth,Pokémon Stadium,Player 2
diamond-diamond,Dr. Mario,Ness,Yoshi’s Story,Player 1
diamond-diamond,Ness,Falco,Dream Land,Player 2
diamond-diamond,Mr. Game & Watch,Fox,Yoshi’s Story,Player 2
diamond-diamond,Falco,Fox,Final Destination,Player 1
diamond-diamond,Falco,Ganondorf,Yoshi’s Story,Player 2
diamond-diamond,Samus,Captain Falcon,Final Destination,Player 2
diamond-diamond,Falco,Marth,Yoshi’s Story,Player 1
diamond-diamond,Samus,Falco,Final Destination,Player 1
diamond-diamond,Ice Climbers,Falco,Dream Land,Player 1
diamond-diamond,Peach,Falco,Battlefield,Player 1
diamond-diamond,Fox,Peach,Final Destination,Player 2
diamond-diamond,Sheik,Bowser,Fountain of Dreams,Player 2
diamond-diamond,Marth,Marth,Final Destination,Player 2
diamond-diamond,Falco,Sheik,Final Destination,Player 1
diamond-diamond,Sheik,Marth,Final Destination,Player 1
diamond-diamond,Marth,Marth,Yoshi’s Story,Player 1
diamond-diamond,Ice Climbers,Marth,Battlefield,Player 2
diamond-diamond,Falco,Falco,Final Destination,Player 1
diamond-diamond,Fox,Jigglypuff,Final Destination,Player 1
diamond-diamond,Peach,Captain Falcon,Yoshi’s Story,Player 2
diamond-diamond,Falco,Falco,Yoshi’s Story,Player 1
diamond-diamond,Ness,Ganondorf,Yoshi’s Story,Player 1
diamond-diamond,Fox,Yoshi,Dream Land,Player 2
diamond-diamond,Peach,Ganondorf,Fountain of Dreams,Player 1
diamond-diamond,Mr. Game & Watch,Marth,Pokémon Stadium,Player 1
diamond-diamond,Falco,Marth,Final Destination,Player 2
diamond-diamond,Falco,Mr. Game & Watch,Final Destination,Player 1
diamond-diamond,Sheik,Mr. Game & Watch,Pokémon Stadium,Player 1
diamond-diamond,Falco,Fox,Final Destination,Player 2
diamond-diamond,Ice Climbers,Yoshi,Yoshi’s Story,Player 2
diamond-diamond,Fox,Sheik,Dream Land,Player 2
diamond-diamond,Samus,Sheik,Fountain of Dreams,Player 2
diamond-diamond,Roy,Falco,Yoshi’s Story,Player 2
diamond-diamond,Falco,Falco,Final Destination,Player 2
diamond-diamond,Falco,Sheik,Fountain of Dreams,Player 1
diamond-diamond,Jigglypuff,Marth,Pokémon Stadium,Player 1
diamond-diamond,Fox,Falco,Battlefield,Player 1
diamond-diamond,Marth,Fox,Final Destination,Player 1
diamond-diamond,Falco,Falco,Final Destination,Player 2
diamond-diamond,Fox,Fox,Final Destination,Player 2
diamond-diamond,Marth,Fox,Final Destination,Player 2
diamond-diamond,Captain Falcon,Jigglypuff,Final Destination,Player 2
diamond-diamond,Roy,Peach,Fountain of Dreams,Player 2
diamond-diamond,Falco,Falco,Pokémon Stadium,Player 2
diamond-diamond,Jigglypuff,Fox,Pokémon Stadium,Player 2
diamond-diamond,Fox,Sheik,Pokémon Stadium,Player 2
diamond-diamond,Mr. Game & Watch,Fox,Fountain of Dreams,Player 1
diamond-diamond,Falco,Falco,Yoshi’s Story,Player 1
diamond-diamond,Samus,Falco,Battlefield,Player 2
diamond-diamond,Mewtwo,Samus,Pokémon Stadium,Player 2
diamond-diamond,Fox,Samus,Yoshi’s Story,Player 1
diamond-diamond,Ganondorf,Falco,Yoshi’s Story,Player 2
diamond-diamond,Marth,Young Link,Final Destination,Player 2
diamond-diamond,Falco,Fox,Final Destination,Player 2
diamond-diamond,Falco,Falco,Final Destination,Player 1
diamond-diamond,Fox,Pikachu,Final Destination,Player 1
diamond-diamond,Captain Falcon,Peach,Fountain of Dreams,Player 2
diamond-diamond,Marth,Ice Climbers,Battlefield,Player 1
diamond-diamond,Falco,Fox,Final Destination,Player 2
diamond-diamond,Falco,Falco,Battlefield,Player 2
diamond-diamond,Falco,Sheik,Final Destination,Player 2
diamond-diamond,Falco,Fox,Yoshi’s Story,Player 2
diamond-diamond,Mewtwo,Pikachu,Yoshi’s Story,Player 2
diamond-diamond,Jigglypuff,Captain Falcon,Final Destination,Player 1
diamond-diamond,Fox,Fox,Final Destination,Player 1
diamond-diamond,Ice Climbers,Link,Final Destination,Player 2
diamond-diamond,Falco,Fox,Final Destination,Player 2
diamond-diamond,Samus,Ness,Fountain of Dreams,Player 2
diamond-diamond,Fox,Falco,Yoshi’s Story,Player 2
diamond-diamond,Sheik,Fox,Final Destination,Player 1
diamond-diamond,Falco,Falco,Pokémon Stadium,Player 2
diamond-diamond,Falco,Falco,Pokémon Stadium,Player 2
diamond-diamond,Fox,Peach,Fountain of Dreams,Player 2
diamond-diamond,Link,Peach,Dream Land,Player 2
diamond-diamond,Dr. Mario,Mr. Game & Watch,Battlefield,Player 1
diamond-diamond,Marth,Mario,Battlefield,Player 2
diamond-diamond,Luigi,Marth,Fountain of Dreams,Player 2
diamond-diamond,Falco,Dr. Mario,Pokémon Stadium,Player 1
diamond-diamond,Luigi,Fox,Fountain of Dreams,Player 2
diamond-diamond,Fox,Peach,Battlefield,Player 1
diamond-diamond,Falco,Falco,Yoshi’s Story,Player 1
diamond-diamond,Fox,Ganondorf,Final Destination,Player 2
diamond-diamond,Fox,Fox,Pokémon Stadium,Player 2
diamond-diamond,Falco,Falco,Pokémon Stadium,Player 1
diamond-diamond,Ice Climbers,Falco,Pokémon Stadium,Player 2
diamond-diamond,Fox,Fox,Yoshi’s Story,Player 1
diamond-diamond,Falco,Falco,Battlefield,Player 2
diamond-diamond,Samus,Falco,Fountain of Dreams,Player 1
diamond-diamond,Ness,Falco,Fountain of Dreams,Player 1
platinum-diamond,Fox,Fox,Final Destination,Player 1
platinum-diamond,Falco,Fox,Pokémon Stadium,Player 1
platinum-diamond,Sheik,Falco,Final Destination,Player 1
platinum-diamond,Samus,Marth,Fountain of Dreams,Player 1
platinum-diamond,Fox,Falco,Yoshi’s Story,Player 1
platinum-diamond,Captain Falcon,Captain Falcon,Fountain of Dreams,Player 2
platinum-diamond,Young Link,Captain Falcon,Yoshi’s Story,Player 1
platinum-diamond,Falco,Dr. Mario,Final Destination,Player 1
platinum-diamond,Young Link,Samus,Yoshi’s Story,Player 1
platinum-diamond,Samus,Falco,Pokémon Stadium,Player 2
platinum-diamond,Fox,Peach,Battlefield,Player 1
platinum-diamond,Jigglypuff,Ness,Yoshi’s Story,Player 2
platinum-diamond,Fox,Falco,Pokémon Stadium,Player 2
platinum-diamond,Falco,Peach,Dream Land,Player 1
platinum-diamond,Sheik,Marth,Pokémon Stadium,Player 2
platinum-diamond,Ice Climbers,Fox,Yoshi’s Story,Player 1
platinum-diamond,Fox,Sheik,Fountain of Dreams,Player 2
platinum-diamond,Jigglypuff,Peach,Fountain of Dreams,Player 2
platinum-diamond,Fox,Fox,Yoshi’s Story,Player 1
platinum-diamond,Captain Falcon,Marth,Final Destination,Player 2
platinum-diamond,Falco,Ganondorf,Yoshi’s Story,Player 2
